PartitionKey,RowKey,Value
tenants:modamautomation5-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation5-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation5-rc,ExtendSimpleTextSearch,TRUE
tenants:modamautomation5-rc,PublicCDN,TRUE
tenants:modamautomation5-rc,PublicCDNPassPhrase,alla
tenants:modamautomation5-rc,PublishUserEvents,TRUE
tenants:modamautomation5-rc,SalesforceConnector,TRUE
tenants:modamautomation5-rc,SimpleTextSearch,TRUE
tenants:modamautomation5-rc,UseUserDisplayName,TRUE
tenants:modamautomation5-rc,VideoSummary,true
tenants:modamautomation6-rc,AllowRecordSaveLock,true
tenants:modamautomation6-rc,AnalyticsDataCaptureEnabled,TRUE
tenants:modamautomation6-rc,AuditArchive,TRUE
tenants:modamautomation6-rc,AuditTrailUI,TRUE
tenants:modamautomation6-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation6-rc,EnableAIContentCoach,TRUE
tenants:modamautomation6-rc,EnableAIContentItemAgents,true
tenants:modamautomation6-rc,EnableAIContentTypeResolution,true
tenants:modamautomation6-rc,EnableAIPredictiveMetadata,TRUE
tenants:modamautomation6-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation6-rc,EnableAIVisionCaptions,true
tenants:modamautomation6-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation6-rc,EnableAzureSdkLogging,TRUE
tenants:modamautomation6-rc,EnableBulkEdit,True
tenants:modamautomation6-rc,EnableChatGPTRecommendations,true
tenants:modamautomation6-rc,EnableConfigurableSearchTab,true
tenants:modamautomation6-rc,EnableContentAutomationHub,true
tenants:modamautomation6-rc,EnableDidYouMean,true
tenants:modamautomation6-rc,EnableEnhancedTranscription,True
tenants:modamautomation6-rc,EnableRecommendationCenter,true
tenants:modamautomation6-rc,EnableSmartActionReview,true
tenants:modamautomation6-rc,EnableSmartActions,true
tenants:modamautomation6-rc,EnableSmartFacets,true
tenants:modamautomation6-rc,EnableSmartSearch,true
tenants:modamautomation6-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation6-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation6-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation6-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation6-rc,ExtendSimpleTextSearch,TRUE
tenants:modamautomation6-rc,PublicCDN,TRUE
tenants:modamautomation6-rc,PublicCDNPassPhrase,alla
tenants:modamautomation6-rc,PublishUserEvents,TRUE
tenants:modamautomation6-rc,SalesforceConnector,TRUE
tenants:modamautomation6-rc,SimpleTextSearch,TRUE
tenants:modamautomation6-rc,UseUserDisplayName,TRUE
tenants:modamautomation6-rc,VideoSummary,true
tenants:modamautomationgolden-rc,AllowRecordSaveLock,true
tenants:modamautomationgolden-rc,AnalyticsDataCaptureEnabled,true
tenants:modamautomationgolden-rc,AuditArchive,true
tenants:modamautomationgolden-rc,AuditTrailUI,true
tenants:modamautomationgolden-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomationgolden-rc,EnableAIContentCoach,true
tenants:modamautomationgolden-rc,EnableAIContentItemAgents,true
tenants:modamautomationgolden-rc,EnableAIContentTypeResolution,true
tenants:modamautomationgolden-rc,EnableAIPredictiveMetadata,true
tenants:modamautomationgolden-rc,EnableAITranscriptionTranslation,true
tenants:modamautomationgolden-rc,EnableAIVisionCaptions,true
tenants:modamautomationgolden-rc,EnableAzureSdkLogging,true
tenants:modamautomationgolden-rc,EnableBulkEdit,True
tenants:modamautomationgolden-rc,EnableChatGPTRecommendations,true
tenants:modamautomationgolden-rc,EnableConfigurableSearchTab,true
tenants:modamautomationgolden-rc,EnableEnhancedTranscription,True
tenants:modamautomationgolden-rc,EnableSmartActionReview,true
tenants:modamautomationgolden-rc,EnableSmartActions,true
tenants:modamautomationgolden-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomationgolden-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomationgolden-rc,EnableVideoSummaryGeneration,true
tenants:modamautomationgolden-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomationgolden-rc,ExtendSimpleTextSearch,true
tenants:modamautomationgolden-rc,PublicCDN,true
tenants:modamautomationgolden-rc,PublicCDNPassPhrase,alla
tenants:modamautomationgolden-rc,PublishUserEvents,true
tenants:modamautomationgolden-rc,SalesforceConnector,true
tenants:modamautomationgolden-rc,SimpleTextSearch,true
tenants:modamautomationgolden-rc,UseUserDisplayName,true
tenants:modamautomationgolden-rc,VideoSummary,true
tenants:perfautomation0-rc,AllowRecordSaveLock,true
tenants:perfautomation0-rc,AnalyticsDataCaptureEnabled,true
tenants:perfautomation0-rc,AuditArchive,true
tenants:perfautomation0-rc,AuditTrailUI,true
tenants:perfautomation0-rc,BrandGuidelineMigrationComplete,true
tenants:perfautomation0-rc,EnableAIContentCoach,true
tenants:perfautomation0-rc,EnableAIPredictiveMetadata,true
tenants:perfautomation0-rc,EnableAzureSdkLogging,true
tenants:perfautomation0-rc,EnableBulkEdit,True
tenants:perfautomation0-rc,EnableEnhancedTranscription,True
tenants:perfautomation0-rc,EnableSmartActionReview,true
tenants:perfautomation0-rc,EnableSmartActions,true
tenants:perfautomation0-rc,EnableTokenExpirationCheckUploadService,true
tenants:perfautomation0-rc,EnableUsingAsposeForAllPdfs,True
tenants:perfautomation0-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:perfautomation0-rc,ExtendSimpleTextSearch,true
tenants:perfautomation0-rc,PublicCDN,true
tenants:perfautomation0-rc,PublicCDNPassPhrase,alla
tenants:perfautomation0-rc,PublishUserEvents,true
tenants:perfautomation0-rc,SalesforceConnector,true
tenants:perfautomation0-rc,SimpleTextSearch,true
tenants:perfautomation0-rc,UseUserDisplayName,true
tenants:perfautomationgolden-rc,AllowRecordSaveLock,true
tenants:perfautomationgolden-rc,AnalyticsDataCaptureEnabled,true
tenants:perfautomationgolden-rc,AuditArchive,true
tenants:perfautomationgolden-rc,AuditTrailUI,true
tenants:perfautomationgolden-rc,BrandGuidelineMigrationComplete,true
tenants:perfautomationgolden-rc,EnableAIContentCoach,true
tenants:perfautomationgolden-rc,EnableAIPredictiveMetadata,true
tenants:perfautomationgolden-rc,EnableAzureSdkLogging,true
tenants:perfautomationgolden-rc,EnableBulkEdit,True
tenants:perfautomationgolden-rc,EnableEnhancedTranscription,True
tenants:perfautomationgolden-rc,EnableSmartActionReview,true
tenants:perfautomationgolden-rc,EnableSmartActions,true
tenants:perfautomationgolden-rc,EnableTokenExpirationCheckUploadService,true
tenants:perfautomationgolden-rc,EnableUsingAsposeForAllPdfs,True
tenants:perfautomationgolden-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:perfautomationgolden-rc,ExtendSimpleTextSearch,true
tenants:perfautomationgolden-rc,PublicCDN,true
tenants:perfautomationgolden-rc,PublicCDNPassPhrase,alla
tenants:perfautomationgolden-rc,PublishUserEvents,true
tenants:perfautomationgolden-rc,SalesforceConnector,true
tenants:perfautomationgolden-rc,SimpleTextSearch,true
tenants:perfautomationgolden-rc,UseUserDisplayName,true
tenants:pmdemo1-rc,AllowRecordSaveLock,true
tenants:pmdemo1-rc,AnalyticsDataCaptureEnabled,True
tenants:pmdemo1-rc,AuditArchive,true
tenants:pmdemo1-rc,AuditTrailUI,true
tenants:pmdemo1-rc,BrandGuidelineMigrationComplete,true
tenants:pmdemo1-rc,ContentPopularitySort,true
tenants:pmdemo1-rc,CustomVisionSmartTags,true
tenants:pmdemo1-rc,Diacritics,true
tenants:pmdemo1-rc,EnableAIContentCoach,true
tenants:pmdemo1-rc,EnableAIContentItemAgents,true
tenants:pmdemo1-rc,EnableAIFileVersionCompare,true
tenants:pmdemo1-rc,EnableAIPredictiveMetadata,true
tenants:pmdemo1-rc,EnableAITranscriptionTranslation,True
