PartitionKey,RowKey,BackupValue,CurrentValue
tenants:modamautomation3-rc,ExcludeFileVersionPermissionOnDraft,True,
tenants:modamautomation3-rc,ExtendSimpleTextSearch,true,
tenants:modamautomation3-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomation3-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomation3-rc,PublicCDN,true,
tenants:modamautomation3-rc,PublicCDNPassPhrase,alla,
tenants:modamautomation3-rc,PublishUserEvents,true,
tenants:modamautomation3-rc,SalesforceConnector,true,
tenants:modamautomation3-rc,SimpleTextSearch,true,
tenants:modamautomation3-rc,UseUserDisplayName,true,
tenants:modamautomation3-rc,VideoSummary,true,
tenants:modamautomation3-rc,maxRunningJobsAuditingArchive,2,5
tenants:modamautomation4-rc,AllowLocalPageHookExecution,TRUE,true
tenants:modamautomation4-rc,AllowRecordSaveLock,true,
tenants:modamautomation4-rc,AnalyticsDataCaptureEnabled,TRUE,
tenants:modamautomation4-rc,AuditArchive,TRUE,
tenants:modamautomation4-rc,AuditTrailUI,TRUE,
tenants:modamautomation4-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomation4-rc,BrandTemplateLicenseFlag,TRUE,false
tenants:modamautomation4-rc,DamUiBulkEditBatchSize,20,10
tenants:modamautomation4-rc,EnableAIContentCoach,TRUE,
tenants:modamautomation4-rc,EnableAIContentItemAgents,true,
tenants:modamautomation4-rc,EnableAIContentTypeResolution,true,
tenants:modamautomation4-rc,EnableAIPredictiveMetadata,TRUE,
tenants:modamautomation4-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomation4-rc,EnableAIVisionCaptions,true,
tenants:modamautomation4-rc,EnableActivityMonitorDAMAssets,true,
tenants:modamautomation4-rc,EnableAzureSdkLogging,TRUE,
tenants:modamautomation4-rc,EnableBulkEdit,True,
tenants:modamautomation4-rc,EnableChatGPTRecommendations,true,
tenants:modamautomation4-rc,EnableConfigurableSearchTab,true,
tenants:modamautomation4-rc,EnableContentAutomationHub,true,
tenants:modamautomation4-rc,EnableDidYouMean,true,
tenants:modamautomation4-rc,EnableEnhancedTranscription,True,
tenants:modamautomation4-rc,EnableRecommendationCenter,true,
tenants:modamautomation4-rc,EnableSmartActionReview,true,
tenants:modamautomation4-rc,EnableSmartActions,true,
tenants:modamautomation4-rc,EnableSmartFacets,true,
tenants:modamautomation4-rc,EnableSmartSearch,true,
tenants:modamautomation4-rc,EnableTokenExpirationCheckUploadService,true,
tenants:modamautomation4-rc,EnableUsingAsposeForAllPdfs,True,
tenants:modamautomation4-rc,EnableVideoSummaryGeneration,true,
tenants:modamautomation4-rc,ExcludeFileVersionPermissionOnDraft,True,
tenants:modamautomation4-rc,ExtendSimpleTextSearch,TRUE,
tenants:modamautomation4-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomation4-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomation4-rc,PublicCDN,TRUE,
tenants:modamautomation4-rc,PublicCDNPassPhrase,alla,
tenants:modamautomation4-rc,PublishUserEvents,TRUE,
tenants:modamautomation4-rc,SalesforceConnector,TRUE,
tenants:modamautomation4-rc,SimpleTextSearch,TRUE,
tenants:modamautomation4-rc,UseUserDisplayName,TRUE,
tenants:modamautomation4-rc,VideoSummary,true,
tenants:modamautomation4-rc,maxRunningJobsAuditingArchive,2,5
